opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value
1C1I7A6R,5,6,9,Won,2016-10-20,2017-03-01,1054.0
Z063OYW0,10,2,39,Won,2016-10-25,2017-03-11,4514.0
EC4QE1BX,10,3,9,Won,2016-10-25,2017-03-07,50.0
MV1LWRNH,5,1,11,Won,2016-10-25,2017-03-09,588.0
PE84CX4O,33,1,35,Won,2016-10-25,2017-03-02,517.0
ZNBS69V1,1,3,59,Won,2016-10-29,2017-03-01,49.0
9ME3374G,24,3,41,Won,2016-10-30,2017-03-02,57.0
7GN8Q4LL,27,1,10,Won,2016-11-01,2017-03-07,601.0
OLK9LKZB,9,6,85,Won,2016-11-01,2017-03-03,1026.0
HAXMC4IX,30,4,,Engaging,2016-11-03,,
NL3JZH1Z,1,3,4,Won,2016-11-04,2017-03-10,53.0
KWVA7VR1,8,2,28,Lost,2016-11-04,2017-03-18,0.0
S8DX3XOU,30,5,70,Won,2016-11-04,2017-03-10,5169.0
ENB2XD8G,34,5,65,Won,2016-11-04,2017-03-06,4631.0
09YE9QOV,26,4,24,Won,2016-11-05,2017-03-11,3393.0
3F5MZNEH,25,3,65,Lost,2016-11-05,2017-03-03,0.0
M6WEJXC0,25,4,61,Won,2016-11-05,2017-03-06,3284.0
6PTR7VBR,3,3,73,Won,2016-11-06,2017-03-05,61.0
902REDPA,18,2,78,Lost,2016-11-07,2017-03-09,0.0
5J9CMGDV,28,3,58,Won,2016-11-07,2017-03-08,46.0
JJXRR8R6,30,5,21,Lost,2016-11-07,2017-03-17,0.0
WF4HA5NW,5,3,59,Won,2016-11-07,2017-03-18,50.0
C5K2JP1H,12,6,75,Won,2016-11-07,2017-03-11,1014.0
ADRB8OMB,10,1,76,Won,2016-11-08,2017-03-26,561.0
SBCR987L,32,1,83,Won,2016-11-10,2017-03-23,590.0
UP409DSB,34,4,26,Engaging,2016-11-10,,
JSD4APT2,3,3,4,Won,2016-11-10,2017-03-12,61.0
AO9Z2D17,12,5,78,Lost,2016-11-10,2017-03-11,0.0
5M58DTJK,28,3,10,Won,2016-11-11,2017-03-05,58.0
KNY1OSAB,34,2,46,Won,2016-11-11,2017-03-14,4899.0
EAZDUUM9,14,4,84,Lost,2016-11-11,2017-03-01,0.0
2STUSOFE,3,3,15,Won,2016-11-11,2017-03-03,67.0
JYKM0B00,30,2,77,Won,2016-11-12,2017-03-06,4338.0
KU28360J,31,1,21,Won,2016-11-12,2017-03-19,578.0
N4SD17JR,21,1,1,Won,2016-11-12,2017-03-01,556.0
E67P9Y3Q,25,1,33,Won,2016-11-12,2017-03-03,635.0
AT3MMVIS,16,4,71,Won,2016-11-12,2017-03-07,3045.0
REJ11LRY,15,6,49,Won,2016-11-13,2017-03-14,1233.0
ERV0CAZ7,3,3,85,Won,2016-11-13,2017-03-09,60.0
8SOQADK7,1,3,30,Lost,2016-11-14,2017-03-30,0.0
TCHFT25B,10,1,66,Lost,2016-11-14,2017-03-08,0.0
CZVN09WN,10,6,45,Won,2016-11-14,2017-03-20,1170.0
EG7OFLFR,32,1,,Engaging,2016-11-14,,
30UQWUKB,7,6,28,Won,2016-11-15,2017-03-20,1162.0
OLVI7L8M,19,2,,Engaging,2016-11-16,,
97UN20YY,10,4,13,Won,2016-11-16,2017-03-14,3725.0
JXLERZ9O,31,1,31,Won,2016-11-16,2017-03-31,559.0
6ROE69W5,25,1,54,Lost,2016-11-16,2017-03-11,0.0
0DFXFKT7,10,6,60,Lost,2016-11-17,2017-03-21,0.0
XKMZVSN4,30,5,65,Won,2016-11-17,2017-03-05,4667.0
IU8V0BZK,7,6,23,Won,2016-11-17,2017-03-17,903.0
XY42936P,34,6,24,Won,2016-11-17,2017-03-13,1180.0
XRN54MBM,9,1,59,Won,2016-11-17,2017-03-05,487.0
2V848WZD,4,4,66,Won,2016-11-18,2017-03-04,3180.0
ONYNTUCG,10,2,25,Lost,2016-11-19,2017-03-17,0.0
HIOHX80Y,10,4,30,Won,2016-11-19,2017-03-18,3563.0
F5U1ACDD,32,6,,Engaging,2016-11-19,,
LPKT07PV,22,2,53,Won,2016-11-20,2017-03-23,4704.0
WPB2SLIG,20,5,63,Won,2016-11-20,2017-03-14,5585.0
XUSUEAV7,28,7,83,Won,2016-11-20,2017-03-09,25897.0
ZZY4516R,26,4,,Engaging,2016-11-20,,
3TYPII47,32,6,32,Won,2016-11-20,2017-03-03,1207.0
7WAX8Z8O,4,4,9,Lost,2016-11-20,2017-03-08,0.0
MYDUMR3R,4,1,57,Won,2016-11-20,2017-03-04,559.0
0DRC1U9Q,34,1,33,Engaging,2016-11-20,,
37JFKD4I,9,6,15,Won,2016-11-20,2017-03-09,1033.0
25YKPHX8,20,1,42,Won,2016-11-21,2017-03-21,462.0
BXXMA7F3,26,4,50,Lost,2016-11-21,2017-03-01,0.0
GIUUTBXM,31,2,79,Won,2016-11-21,2017-03-14,5539.0
MFX2LR1Q,4,4,59,Won,2016-11-21,2017-03-15,3573.0
DUHE9FLY,7,2,13,Won,2016-11-21,2017-03-01,4926.0
96BSG7R1,33,6,70,Lost,2016-11-21,2017-03-17,0.0
7FQMSWIX,13,3,5,Won,2016-11-22,2017-03-04,62.0
C20AVXN7,10,2,30,Won,2016-11-22,2017-03-14,4359.0
GS1QVWCR,32,1,55,Won,2016-11-22,2017-03-31,566.0
ZWH8FXY3,7,1,72,Won,2016-11-22,2017-03-03,508.0
2U94Y3Q9,14,4,75,Lost,2016-11-22,2017-03-20,0.0
AAR79NOO,3,3,11,Won,2016-11-22,2017-03-11,51.0
B6B0PNR2,24,2,14,Won,2016-11-22,2017-03-05,4899.0
M7I5O9YU,13,1,10,Engaging,2016-11-23,,
LXZA2OSZ,13,5,52,Won,2016-11-23,2017-03-03,5790.0
N0ONCYVZ,20,3,43,Lost,2016-11-23,2017-03-30,0.0
GYB4W2AU,28,4,,Engaging,2016-11-23,,
513DPFX5,8,2,11,Won,2016-11-23,2017-03-03,4438.0
RU023K5W,8,4,23,Won,2016-11-23,2017-03-17,2972.0
VDIU10RV,27,3,47,Engaging,2016-11-23,,
BZCBQ514,27,1,79,Won,2016-11-23,2017-03-01,523.0
